STAID,synchrony_scale_km,latitude,longitude,PPTAVG_BASIN,T_AVG_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,climate_zone
01117000,3000,41.624565,-71.501632,123.2626,9.922451,656.7587,23.90225,0.0488116007174775,112.0941,11.0,7.283159,0
01117500,3000,41.507542,-71.58824,128.0964,9.786422,647.4833,24.98929,0.0472843003066986,113.5516,11.03974,8.005771,0
01134500,725,44.575317,-71.798137,119.3264,4.524818,519.512,34.91018,0.104671524948989,151.4202,14.61573,10.69008,2
01135500,800,44.567597,-71.962867,111.6348,4.618841,526.2859,34.99812,0.114639470570489,148.5703,14.78138,10.64763,2
01331500,1850,42.557267,-73.149926,124.6111,6.492385,554.2793,31.51376,0.0797182634972002,121.7455,11.45386,8.96252,2
01332500,1675,42.65535,-73.114287,126.2916,6.523044,557.9024,32.48655,0.0820059766235706,128.2268,12.07578,9.407219,2
01333000,1700,42.636888,-73.236824,122.7237,6.482723,554.5756,31.07915,0.0867275733845928,130.2132,11.97723,9.116423,2
01334000,1100,42.893129,-73.157935,126.1301,6.708314,567.8796,31.3767,0.082841434577515,137.5269,12.8429,9.919374,2
01334500,1675,42.772923,-73.212443,119.8875,6.892798,573.7728,30.32599,0.0897829800416849,131.4929,12.32191,9.514153,2
01362500,875,42.09194,-74.329076,137.2501,5.894132,528.6465,32.39048,0.0274632296121799,116.0846,10.92874,8.078593,2
01365000,2400,41.915983,-74.424158,137.9844,5.865521,529.139,30.17461,0.0426731578401439,123.8283,12.0,9.033737,2
01379000,2750,40.736251,-74.499085,132.6504,10.44201,688.2224,19.69896,0.0445207693860379,109.3193,11.0,7.426108,0
01379500,2425,40.706234,-74.503545,130.9943,10.523,691.678,19.39328,0.0470142789610264,108.6156,11.0,7.269309,0
01396500,3000,40.801422,-74.771025,135.3127,9.172815,633.6935,22.88202,0.0606589640824843,111.9301,11.0,7.996277,0
01399500,3000,40.812701,-74.682277,134.6123,9.346945,640.42,22.19312,0.0620775866032318,108.3531,11.0,7.730407,0
01400000,2975,40.711016,-74.69823,130.7152,10.05442,672.2729,20.25275,0.0601678549751258,106.595,11.0,7.306528,0
01409400,1875,39.764221,-74.78227,118.3306,12.04906,748.1471,15.08123,0.0372191166639212,102.3729,10.0,7.0,0
01411000,1700,39.700797,-74.944499,117.0123,12.16459,755.1006,14.01386,0.0426378039253012,101.4017,10.0,7.068715,0
01413500,2025,42.202688,-74.553782,114.7521,5.907743,529.5538,31.20049,0.0769627497406418,124.8196,11.9211,8.864178,2
01414500,1475,42.07979,-74.650984,117.4579,5.841807,527.4576,33.78625,0.0874056743628716,123.8183,12.0359,8.426222,2
01420500,1525,41.954961,-74.767857,129.1999,6.337694,543.3543,31.01473,0.0633331012101754,130.539,12.30747,9.578586,2
01435000,1425,41.968898,-74.499192,152.0154,5.161072,502.4656,34.12828,0.0317752347971667,131.0672,12.47991,9.690956,2
01450500,2675,40.854406,-75.457087,125.9045,9.907596,671.4659,21.57731,0.0574654831309307,115.7101,11.04,8.110882,0
01451500,950,40.529842,-75.603289,119.9833,10.31114,686.9694,20.01643,0.0620393422843313,108.4139,11.0,7.253623,0
01452000,2125,40.65019,-75.660515,122.904,10.26651,685.3207,20.70745,0.0553789059599294,109.4179,11.0,7.26789,0
01452500,825,40.715305,-75.371796,119.1963,10.38242,692.2473,20.12142,0.0624659013752162,111.6787,11.0,7.298934,0
01478000,2150,39.68072,-75.784015,117.1215,12.10975,752.7086,14.27627,0.0554221817114286,102.4389,10.0,7.0,0
01495000,2350,39.77237,-75.889112,118.3927,11.31971,717.2039,16.4619,0.0491377800310072,105.2648,10.10441,7.048481,0
01539000,3000,41.237086,-76.342079,117.1409,8.326091,615.2064,23.52162,0.0890348174426967,117.4843,11.48916,8.423059,2
01543000,3000,41.542175,-78.297474,110.3218,7.756742,587.716,26.07732,0.107261569431571,153.8002,16.02475,10.94678,2
01543500,3000,41.403714,-78.358797,109.5989,7.93272,593.0852,25.41157,0.0998926656569314,151.5038,15.46681,10.73054,2
01544500,3000,41.588214,-77.71912,106.3449,7.229384,570.738,26.43705,0.100920118825767,137.7556,13.05539,10.3218,2
01546500,2075,40.799967,-77.808732,103.2624,9.07543,637.3214,23.34694,0.0735262179265955,123.4873,12.0325,9.0,2
01547200,3000,40.852355,-77.884299,103.8906,9.012249,633.7703,22.70372,0.0849455930851441,126.2959,12.12635,9.080561,2
01547700,3000,41.044653,-77.745786,104.8541,9.04676,635.364,21.87384,0.0983319046942095,129.0045,12.15936,9.388825,2
01548500,3000,41.710954,-77.510203,97.36469,6.983543,561.6877,26.6339,0.115584926719043,129.3804,12.66419,9.673722,2
01549500,3000,41.514044,-77.136149,102.7028,7.364868,575.5968,26.96532,0.104471365892651,116.089,11.73329,8.344522,2
01550000,3000,41.53111,-76.952269,102.2657,7.548449,583.0425,26.21654,0.0982068933604789,116.3884,11.90895,8.123425,2
01552500,1450,41.374658,-76.46636,122.8454,6.820648,561.4623,27.93662,0.0659319406319888,126.696,12.71487,9.20816,2
01567500,3000,40.387633,-77.440762,107.8419,10.5965,694.5824,18.0,0.0654225722462074,109.2399,11.00968,7.870708,0
01568000,3000,40.319353,-77.407539,109.3261,10.58715,693.478,17.99888,0.0607784320946744,108.602,10.95998,7.64296,0
01582000,2000,39.670075,-76.655197,115.283,11.04648,703.0538,15.67997,0.041159874336773,111.1054,11.0,7.846838,0
01583500,2375,39.533892,-76.768415,114.6849,11.63104,728.6591,13.93646,0.0422671702717315,108.3836,11.0,7.266771,0
01595000,3000,39.260203,-79.393953,129.2347,8.384208,581.314,24.61514,0.0766413315836254,159.9189,15.93743,10.20898,2
01596500,3000,39.63227,-79.05802,112.7016,8.282637,583.3489,23.09632,0.068432760202159,137.9688,12.97546,9.004332,2
01599000,3000,39.577385,-78.985088,108.8553,8.883104,608.4416,20.49688,0.0701576591293566,132.8631,12.35828,9.024573,2
01619500,2525,39.667626,-77.616211,107.9945,11.3599,723.2784,14.92102,0.0618001411633681,108.2605,11.05301,7.160308,0
01637500,3000,39.527255,-77.552971,113.5963,11.302,718.6036,14.18158,0.057970595886076,108.7437,11.21047,7.328146,0
